AT,DOY,Local Time,RH,Td,WD,WS,WT,WT-AT
0.7375231053604436,-0.7894179103280194,-0.9063077870366498,0.9243604004449387,0.9314897413024086,0.27999999999999997,0.3602484472049689,0.8980891719745223,0.5587188612099644
0.23105360443622924,0.051619667223253764,0.8433914458128856,0.9977753058954394,0.46547725245316685,0.0,0.0,0.16878980891719744,0.7188612099644128
0.6506469500924216,-0.051478754770346045,0.9990482215818578,0.9944382647385984,0.8679750223015166,0.38111111111111107,0.14285714285714282,0.6719745222929937,0.47330960854092524
0.4621072088724585,0.7567706633464627,0.9914448613738104,1.0,0.688135593220339,0.9505555555555555,0.08074534161490683,0.5923566878980893,0.7473309608540926
0.32162661737523107,-0.5366961939916011,0.08715574274765817,0.9988876529477196,0.5528991971454059,0.6536111111111111,0.04347826086956521,0.21019108280254778,0.5907473309608542
0.47319778188539746,0.9732643737003824,0.043619387365336,1.0,0.6988403211418377,0.9686111111111111,0.09316770186335403,0.4840764331210191,0.604982206405694
0.8835489833641406,-0.2135209154397959,-0.9762960071199334,0.5050055617352613,0.9072256913470117,0.6052777777777778,0.10559006211180123,0.8757961783439491,0.2526690391459075
0.4158964879852126,-0.9778483415056567,0.6087614290087207,0.9966629588431589,0.6429973238180197,0.017777777777777778,0.018633540372670804,0.5095541401273885,0.7437722419928826
0.23105360443622924,0.1202080448993527,0.737277336810124,0.9933259176863181,0.464406779661017,0.31055555555555553,0.11180124223602483,0.18789808917197454,0.7402135231316725
0.6598890942698707,0.11988119229922782,0.984807753012208,0.9877641824249165,0.8751115075825157,0.09,0.3105590062111801,0.7802547770700637,0.5765124555160143
0.4621072088724585,0.9242907221930933,0.9762960071199334,0.9755283648498331,0.6820695807314898,0.05527777777777777,0.21118012422360247,0.3885350318471337,0.5195729537366548
0.3327171903881701,-0.5511016400745998,-0.5735764363510465,0.9988876529477196,0.5634255129348795,0.7105555555555556,0.06832298136645963,0.17515923566878983,0.5302491103202847
0.48983364140480595,-0.9444892287836614,0.9914448613738104,0.9988876529477196,0.7145405887600357,0.9797222222222222,0.04347826086956521,0.554140127388535,0.6512455516014234
0.6044362292051757,0.21352091543979612,-0.08715574274765743,0.9944382647385984,0.8235504014272971,0.9338888888888889,0.012422360248447204,0.7324840764331211,0.6298932384341637
0.21626617375231055,-0.3846650997070013,0.8433914458128856,0.9944382647385984,0.4504906333630687,0.9491666666666666,0.06211180124223602,0.16878980891719744,0.7473309608540926
0.5767097966728282,-0.9483615800121716,0.8191520442889917,0.9966629588431589,0.7975022301516504,0.9411111111111111,0.024844720496894408,0.6878980891719746,0.6334519572953736
0.4121996303142329,-0.9778483415056567,0.737277336810124,0.9966629588431589,0.6394290811775202,0.09,0.04347826086956521,0.5095541401273885,0.7508896797153026
0.3844731977818854,-0.7583058084785625,0.9914448613738104,0.9911012235817573,0.6114183764495985,0.0002777777777777778,0.06211180124223602,0.5573248407643312,0.8576512455516015
0.35674676524953786,-0.9455963874271428,0.9762960071199334,0.9810901001112347,0.5823371989295273,0.9516666666666668,0.03726708074534161,0.4649681528662421,0.807829181494662
0.31608133086876156,-0.858763958275803,0.7071067811865476,0.9922135706340378,0.5459411239964318,0.4408333333333333,0.012422360248447204,0.3535031847133758,0.7615658362989324
