,Train R,Train R2,Train RMSE,Test R,Test R2,Test RMSE,layer_1,layer_2,layer_3,lr,bs,epochs,kfold
1,0.5797376742230137,0.33598697588779536,2536.5928920502793,0.5805883785557344,0.33686188670075423,2544.9418460939337,128,128,64,0.0004,512,5,5
0,0.5748068684977323,0.3300142933291287,2547.975470839545,0.5756904558674801,0.33114307079496286,2555.8920164983497,128,128,32,0.0004,512,5,5
