vis
5167
4243
2405
9280
9790
1420
4090
2660
8423
6550
8380
8240
7170
6831
3043
4293
7501
6970
1340
9005
8550
969
2932
285
2638
1888
2990
9646
8320
4875
8230
6233
245
2283
9308
6432
8568
6216
6660
6173
8120
9218
2460
6943
5736
4110
9131
9356
4680
2900
8368
9435
7160
1267
8285
9063
9626
7051
9150
9720
3893
8846
304
2960
5000
4700
181
8270
9140
6786
9716
9406
469
5025
461
8340
9260
4330
1223
7528
4218
6969
3881
9345
7995
9201
1936
1345
1494
7489
7798
6390
2046
6980
4010
5259
6176
8762
9474
1080
415
2890
1675
8242
1120
7356
3742
190
1127
4023
2033
3540
8980
6420
4981
9742
9993
7292
8853
8075
5630
4468
4365
3286
2040
4530
275
1790
8550
3918
6726
6485
183
9683
4496
3554
8510
5429
6700
8250
4489
6180
7892
8365
7400
3661
2977
9588
440
9945
1765
3242
9413
8955
1183
666
8035
3690
8518
9105
860
9275
4179
9845
3768
1960
9898
9148
6759
3025
4210
6647
5932
644
3653
1365
9220
693
1416
7356
7696
1657
9065
8762
275
7745
5340
239
4770
9525
2887
104
9058
4692
9623
1889
320
9116
9050
1280
9355
510
7740
3010
9635
5626
9852
8808
1895
7665
7047
3052
3493
5607
6831
6930
427
2420
2046
5717
9230
8190
9750
1911
9817
1151
4515
907
9581
2515
62
3770
9547
332
9755
2464
1316
9385
7580
1112
3420
8113
6355
3663
8172
7036
3955
8210
175
3457
5566
9130
6345
7600
8670
9831
7268
2409
7430
9346
7027
4545
4810
6075
7077
8696
8620
5140
1082
9312
3410
7608
1166
3290
4533
2555
7501
3466
8235
8026
6770
9407
3563
9876
9320
6835
6390
294
1810
8122
8970
3573
6845
2060
8557
9713
3261
7758
3580
1377
799
6987
6376
1108
9760
4320
686
4752
1820
5172
1216
134
5030
9825
7239
7894
8680
5903
2633
893
838
4810
5290
98
760
3245
8443
271
5686
2460
3157
676
3970
5100
7745
9806
1770
2150
2712
647
4723
2590
3536
7346
9127
6809
1758
1136
8460
1900
6260
3047
2785
9455
5490
6570
309
4410
652
7704
3720
5843
2452
7115
7477
9759
9275
2340
5670
7803
8783
8570
3725
8244
3275
4756
2590
3270
6820
319
3980
5082
2323
7735
9706
9000
2762
8435
6815
566
7330
8098
436
9815
9386
136
8586
1160
8566
3640
664
9633
3333
7413
9463
9970
699
2465
7835
3843
1495
3640
5633
9045
3643
1680
9032
8770
5840
3598
3982
6340
4890
192
4728
301
7180
3708
193
9116
9043
3598
6747
7190
656
4765
9010
7876
8120
5236
5625
140
2195
3987
9073
7795
9121
9008
9885
9388
535
2258
1715
228
372
1280
5590
8551
1476
8994
1573
301
3210
2270
4655
8981
2825
2488
4926
8220
4543
1055
816
9910
2134
1911
7330
4119
8245
5392
321
9052
6418
6856
9116
131
126
8435
5510
2626
304
1045
4395
7572
7240
2175
5486
2100
532
7998
9588
7852
8210
9185
5308
6896
4756
8876
7330
1436
1165
6455
9120
8032
4845
8982
7240
9360
2206
5285
6744
7099
2283
5167
5495
173
275
116
9191
6006
8976
2901
7595
1455
8918
8585
2400
272
2904
6105
2342
7566
9887
9806
1760
7171
4673
490
9446
5240
3270
309
5188
1535
7180
6980
9830
4680
6570
2653
6085
9842
9752
5842
7950
8010
1220
8935
4337
4128
3411
9590
223
7607
3005
484
1740
4220
9395
608
1195
4303
2770
9466
7060
3990
2065
8153
4427
7590
706
4815
1985
9085
317
9963
9325
403
9823
7417
8383
9976
6642
3918
9896
4755
9830
3317
5573
1612
7653
5687
3642
9153
6323
8233
694
8988
2742
8716
4366
2590
8460
7590
1415
4430
2438
9907
6575
9043
6480
2233
