AT,DOY,Local Time,RH,Td,WD,WS,WT,WT-AT,bAT,bTd,bWD,bWS
0.7105263157894737,-0.3131070409358267,1.0,1.0,0.9069052783803326,0.32916666666666666,0.66,0.5088495575221239,0.19580419580419578,0.6813953488372092,0.8635514018691589,0.31666666666666665,0.5021276595744681
0.5350877192982456,0.7894179103280199,-0.30070579950427306,1.0,0.7622921185827911,0.32972222222222225,0.18000000000000002,0.2035398230088496,0.1993006993006993,0.5186046511627906,0.7401869158878505,0.425,0.3234042553191489
0.5175438596491229,0.9778483415056568,-0.25881904510252157,1.0,0.7478308026030369,0.42861111111111116,0.31,0.11061946902654866,0.1923076923076923,0.47441860465116276,0.6915887850467289,0.4583333333333333,0.451063829787234
0.6820175438596491,-0.35275208654909473,-0.25881904510252157,1.0,0.8834056399132322,0.33666666666666667,0.13333333333333333,0.46017699115044236,0.3181818181818182,0.5744186046511629,0.7813084112149532,0.6833333333333333,0.07234042553191489
0.7280701754385965,-0.6601521206712315,0.5372996083468238,1.0,0.9213665943600867,0.7694444444444445,0.08,0.48672566371681414,0.1853146853146853,0.6767441860465117,0.8560747663551401,0.6805555555555556,0.2808510638297872
0.6162280701754386,0.5012418134457758,0.9961946980917455,0.9912472647702406,0.826825741142444,0.7169444444444445,0.01,0.23893805309734506,0.1608391608391608,0.5627906976744187,0.7831775700934579,0.7055555555555556,0.07234042553191489
0.5263157894736842,0.9679377830240642,0.7071067811865476,1.0,0.755061460592914,0.8730555555555556,0.16666666666666666,0.19469026548672566,0.1923076923076923,0.5186046511627906,0.7476635514018691,0.6055555555555555,0.2
0.7061403508771931,-0.9990791668951153,0.9659258262890683,1.0,0.9032899493853941,0.0,0.0,0.5132743362831859,0.19580419580419578,0.6837209302325581,0.8710280373831776,0.5777777777777777,0.20425531914893616
0.7280701754385965,-0.6206094818274228,-0.8433914458128857,1.0,0.9213665943600867,0.5002777777777777,0.07666666666666666,0.5265486725663716,0.18881118881118877,0.6953488372093023,0.8747663551401869,0.5444444444444444,0.3829787234042553
0.6732456140350878,-0.9263239682514951,0.25881904510252074,0.9967177242888401,0.8752711496746204,0.6130555555555556,0.030000000000000002,0.6283185840707964,0.2552447552447552,0.7046511627906976,0.8242990654205608,0.3333333333333333,0.06808510638297872
0.7236842105263158,-0.051478754770346045,-0.04361938736533538,1.0,0.9177512653651482,0.0,0.0,0.4070796460176991,0.1643356643356643,0.6488372093023256,0.8467289719626168,0.5916666666666667,0.2808510638297872
0.7653508771929824,-0.5653446739747425,0.9990482215818578,1.0,0.9520968908170644,0.4827777777777778,0.05333333333333334,0.5663716814159292,0.1993006993006993,0.7093023255813954,0.891588785046729,0.5277777777777778,0.07659574468085106
0.5855263157894738,-0.9999631612477099,0.6755902076156604,0.898249452954048,0.7760303687635575,0.04638888888888889,0.12666666666666665,0.5353982300884956,0.33216783216783213,0.6046511627906976,0.7682242990654206,0.11666666666666667,0.33191489361702126
