,Train R,Train R2,Train RMSE,Test R,Test R2,Test RMSE,layer_1,layer_2,layer_3,lr,bs,epochs,kfold
1,0.4859446315301686,0.23249893255299459,2501.296763680791,0.474528803152915,0.22287341568776542,2506.27931404303,128,128,64,0.0004,512,5,5
0,0.47973305754181583,0.22885288035633877,2507.2309426935526,0.46858768555901836,0.21916596297892088,2512.250584635219,128,128,32,0.0004,512,5,5
